#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV4073,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_BS11_gut_group,unclassified
ASV2609,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_BS11_gut_group,unclassified
ASV5191,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_BS11_gut_group,unclassified
ASV790,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,PeH15,unclassified
ASV9437,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,unclassified
ASV7474,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,unclassified
ASV7648,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,unclassified
ASV3831,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Rhabdobacter
ASV2540,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV6485,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV4948,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV1737,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV1576,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV9082,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV8415,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV8113,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV7395,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Larkinella
ASV7803,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma
